,Word,Frequency
0,'s,19
1,phrase,1
2,use,2
3,wide,1
4,chines,11
5,state-run,2
6,media,4
7,well,1
8,western,2
9,public,1
10,made,2
11,clear,1
12,last,2
13,weekend,1
14,propon,1
15,full,1
16,support,1
17,countri,3
18,top,1
19,diplomat.speak,1
20,press,2
21,confer,1
22,beij,2
23,sunday,1
24,foreign,10
25,minist,3
26,wang,4
27,yi,1
28,said,8
29,china,13
30,would,1
31,push,2
32,back,5
33,``,21
34,deliber,2
35,insult,2
36,never,1
37,pick,1
38,fight,3
39,bulli,1
40,other,1
41,principl,1
42,gut,1
43,resolut,1
44,defend,2
45,nation,2
46,honor,1
47,digniti,1
48,refut,1
49,groundless,1
50,slander,1
51,fact,2
52,'',16
53,respond,1
54,question,1
55,cnn.but,1
56,wolf,8
57,warrior,10
58,diplomaci,3
59,name,1
60,mean,1
61,origin,1
62,repres,2
63,complet,1
64,differ,1
65,type,1
66,diplomat,5
67,famous,1
68,bland,1
69,past,1
70,decades.instead,1
71,long,2
72,verbos,1
73,statement,1
74,offici,1
75,take,2
76,twitter,4
77,social,1
78,platform,2
79,hit,3
80,directli,1
81,critic,4
82,rule,1
83,communist,2
84,parti,2
85,actual,2
86,titl,1
87,hugely-success,1
88,seri,3
89,patriot,1
90,action,1
91,film,5
92,featur,1
93,rambo-lik,1
94,protagonist,1
95,enemi,1
96,home,1
97,abroad,1
98,interest,1
99,first,1
100,releas,2
101,2015,1
102,box,1
103,office.it,1
104,quickli,1
105,spawn,1
106,sequel,1
107,becam,1
108,highest,1
109,gross,1
110,time,2
111,2017,1
112,2,1
113,base,1
114,around,1
115,squad,1
116,peopl,1
117,liber,1
118,armi,1
119,soldier,1
120,sent,1
121,african,1
122,rescu,1
123,civilian,1
124,taglin,1
125,even,1
126,though,1
127,thousand,1
128,mile,1
129,away,1
130,anyon,1
131,affront,1
132,pay,1
133,earli,1
134,comparison,1
135,came,1
136,juli,1
137,2019,2
138,zhao,6
139,lijian,1
140,counselor,1
141,embassi,1
142,pakistan,1
143,began,1
144,hard,1
145,us,5
146,govern,2
147,twitter.in,1
148,controversi,1
149,tweet,1
150,claim,2
151,right,2
152,human,1
153,abus,1
154,problem,1
155,racism,1
156,incom,1
157,inequ,1
158,gun,1
159,violenc,1
160,alleg,1
161,place,1
162,washington,1
163,dc,1
164,provok,1
165,furiou,1
166,reaction,1
167,former,1
168,presid,1
169,barack,1
170,obama,1
171,secur,1
172,advis,1
173,susan,1
174,rice,1
175,call,1
176,racist,1
177,disgrac,1
178,one,3
179,year,1
180,later,2
181,career,1
182,blossom,1
183,three,1
184,high-profil,1
185,spokespeopl,1
186,hold,1
187,ministri,2
188,daili,1
189,conference.not,1
190,across,1
191,world,1
192,begun,1
193,mirror,1
194,aggress,2
195,tactic,2
196,ban,1
197,china.zhao,1
198,boss,1
199,hua,2
200,chuni,1
201,director,1
202,gener,1
203,depart,1
204,inform,1
205,frequent,1
206,lash,1
207,account,1
208,open,1
209,octob,1
210,boast,1
211,almost,1
212,"500,000",1
213,follow,2
214,politician,1
215,ignor,1
216,basic,1
217,make,1
218,countless,1
219,lie,1
220,conspiraci,1
221,theori,1
222,concern,1
223,may,2
224,24,2
225,coronaviru,1
226,pandemic.china,1
227,ambassador,2
228,uk,1
229,liu,3
230,xiaom,1
231,anoth,1
232,keen,1
233,regularli,1
234,europe.speak,1
235,state,2
236,monday,1
237,term,1
238,misunderstand,1
239,polici,4
240,independ,1
241,peac,1
242,ad,1
243,sometim,1
244,strong,1
245,hand,1
246,need,1
247,'wolf,2
248,answer,1
249,despit,1
250,comment,2
251,still,1
252,appear,1
253,degre,1
254,indecis,1
255,whether,1
256,fulli,1
257,embrac,1
258,term.in,1
259,april,1
260,tabloid,2
261,global,1
262,publish,1
263,stori,1
264,prais,1
265,west,1
266,say,1
267,necessari,1
268,resort,1
269,month,1
270,editori,1
271,run,1
272,label,1
273,reflect,1
274,extrem,1
275,ideolog,1
276,paper,1
277,said.richard,1
278,mcgregor,1
279,expert,1
280,senior,1
281,fellow,1
282,lowi,1
283,institut,1
284,current,1
285,fierc,1
286,debat,1
287,insid,1
288,clearli,1
289,split,2
290,conduct,1
291,might,1
292,moment,1
293,'wolv,1
294,seem,1
295,ascend,1
296,'m,1
297,sure,1
