,Word,Frequency
0,'s,16
1,imposs,1
2,overst,1
3,import,1
4,prime,5
5,minist,7
6,bori,1
7,johnson,14
8,goe,2
9,well,3
10,respons,3
11,attack,1
12,across,2
13,polit,6
14,spectrum,1
15,handl,2
16,recent,2
17,black,8
18,live,3
19,matter,1
20,protest,5
21,countri,5
22,critic,3
23,accus,1
24,use,1
25,languag,2
26,enflam,2
27,racial,1
28,divis,1
29,lead,3
30,ultim,2
31,ugli,1
32,scene,1
33,far-right,2
34,extremist,1
35,group,1
36,took,3
37,part,1
38,violent,2
39,counter-protest,1
40,weekend,1
41,govern,20
42,perspect,1
43,eas,3
44,lockdown,7
45,must,1
46,end,1
47,disast,1
48,worst-cas,1
49,scenario,1
50,unlock,2
51,second,4
52,wave,1
53,coronaviru,1
54,infect,4
55,result,1
56,death,10
57,lock,1
58,hard,1
59,sell,1
60,public,5
61,despit,1
62,larg,1
63,obey,1
64,measur,2
65,sinc,1
66,march,1
67,highest,1
68,rate,1
69,europ,1
70,``,35
71,n't,7
72,think,1
73,much,4
74,say,9
75,surviv,1
76,danger,2
77,get,3
78,spike,1
79,'',13
80,tim,1
81,bale,2
82,professor,2
83,queen,1
84,mari,1
85,univers,4
86,'m,1
87,sure,1
88,could,3
89,restor,1
90,confid,1
91,anyth,1
92,like,3
93,return,3
94,execut,1
95,realli,2
96,right,3
97,pray,1
98,earli,1
99,peopl,6
100,claim,2
101,may,2
102,lift,2
103,soon,1
104,rang,1
105,editori,1
106,page,1
107,left-lean,1
108,guardian,2
109,newspap,1
110,believ,3
111,see,1
112,poll,2
113,scienc,1
114,gambl,1
115,health,5
116,nation,3
117,scientist,1
118,advis,2
119,call,1
120,decis,2
121,given,2
122,risk,3
123,go,6
124,wrong,3
125,answer,1
126,might,4
127,lie,1
128,opinion,2
129,talk,1
130,rememb,2
131,drop,2
132,trust,1
133,british,2
134,occur,1
135,quit,1
136,rapidli,1
137,narr,4
138,develop,1
139,made,1
140,seri,1
141,mistak,2
142,led,3
143,hope,2
144,open,4
145,economi,2
146,shift,1
147,--,1
148,especi,1
149,daili,1
150,toll,4
151,distract,1
152,would,2
153,probabl,1
154,welcome.last,1
155,week,5
156,abandon,1
157,primari,1
158,school,4
159,summer,1
160,holiday,1
161,becam,1
162,clear,2
163,mani,11
164,safe,1
165,pupil,1
166,opposit,2
167,number,2
168,labour,2
169,leader,3
170,keir,1
171,starmer,1
172,point,2
173,ridicul,1
174,situat,1
175,next,1
176,bet,1
177,shop,1
178,theme,1
179,park,1
180,parent,1
181,children,1
182,back,4
183,simpli,1
184,latest,1
185,exampl,1
186,incompet,1
187,major,1
188,crisi,4
189,baseless,1
190,uk,5
191,went,1
192,later,1
193,european,1
194,neil,1
195,ferguson,1
196,epidemiologist,1
197,former,2
198,admit,1
199,last,2
200,peril,1
201,introduc,2
202,earlier,1
203,reduc,1
204,final,1
205,least,1
206,half,1
207,core,1
208,strategi,1
209,protect,2
210,servic,1
211,expert,2
212,thousand,1
213,unnecessari,1
214,commun,4
215,decid,1
216,creat,2
217,capac,1
218,nh,1
219,send,1
220,elderli,1
221,invari,1
222,frail,1
223,vulner,1
224,nurs,1
225,home,3
226,viru,3
227,stagger,1
228,excess,1
229,bharat,1
230,pankhania,1
231,senior,1
232,clinic,1
233,lectur,1
234,exet,1
235,medic,1
236,school.pankhania,1
237,one,4
238,restrict,1
239,monday,1
240,prematur,1
241,cost,1
242,make,3
243,peak,2
244,almost,1
245,inevit,1
246,poor,2
247,record,2
248,extens,1
249,test,1
250,mean,1
251,ca,1
252,precis,1
253,case,2
254,new,1
255,test-and-trac,2
256,system,1
257,central,2
258,nimbl,1
259,enough,2
260,pick,1
261,true,1
262,pictur,1
263,add,1
264,oper,1
265,eventu,1
266,appear,1
267,five,1
268,month,2
269,first,1
270,confirm,1
271,virus.a,1
272,britain,1
273,pandem,2
274,dovetail,1
275,big,2
276,stori,1
277,moment,1
278,global,1
279,kill,1
280,georg,2
281,floyd,3
282,white,1
283,polic,3
284,offic,1
285,unit,1
286,state,1
287,anger,3
288,ethnic,1
289,minor,1
290,inequ,2
291,institution,1
292,racism.earli,1
293,releas,1
294,report,1
295,detail,1
296,demonstr,1
297,place,1
298,although,1
299,trigger,1
300,institut,1
301,racism,1
302,custodi,1
303,dian,1
304,abbott,1
305,high-profil,1
306,mp,2
307,whole,1
308,atmospher,1
309,terribl,1
310,covid,1
311,left,1
312,feel,2
313,sieg,1
314,along,1
315,other,3
316,found,1
317,underwhelm,1
318,said,5
319,subvert,1
320,thuggeri,1
321,sort,1
322,consequ,1
323,word,1
324,'thug,1
325,play,1
326,stereotyp,2
327,aggress,1
328,young,1
329,men,1
330,kehind,1
331,andrew,1
332,studi,1
333,birmingham,1
334,citi,1
335,look,3
336,arrest,1
337,suffer,1
338,violenc,1
339,often,1
340,come,3
341,friday,1
342,sent,1
343,condemn,1
344,want,1
345,graffiti,1
346,bring,1
347,statu,3
348,winston,1
349,churchil,1
350,stand,1
351,outsid,1
352,parliament,1
353,follow,1
354,day,1
355,street,1
356,london,1
357,aim,1
358,damag,1
359,clash,1
360,anti-rac,1
361,secretari,1
362,seem,2
363,occupi,1
364,slave,2
365,trader,1
366,toppl,1
367,atlant,1
368,trade,1
369,abbott.so,1
370,time,2
371,fight,1
372,sever,1
373,front,2
374,loyalist,1
375,worri,4
376,inner,1
377,circl,1
378,adequ,1
379,prepar,1
380,happen,4
381,thing,5
382,start,1
383,lot,3
384,us,1
385,top,1
386,team,1
387,sure-foot,1
388,late,2
389,author,1
390,speak,1
391,long,2
392,run,1
393,reliev,1
394,success,2
395,afford,1
396,confus,1
397,annoy,1
398,anoth,1
399,conserv,4
400,request,1
401,name,1
402,undermin,1
403,parliamentari,1
404,work,1
405,micromanag,1
406,capit,1
407,solv,1
408,brexit,4
409,year,4
410,finger,1
411,among,1
412,accident-pron,1
413,avoid,1
414,scandal,1
415,chief,1
416,aid,1
417,domin,1
418,cum,1
419,forc,1
420,polici,1
421,revers,2
422,doubt,1
423,challeng,1
424,iain,1
425,duncan,1
426,smith,1
427,parti,1
428,difficult,1
429,control,2
430,unpreced,1
431,yet,1
432,setback,1
433,plan,1
434,weak,1
435,set,1
436,compet,2
437,howev,1
438,optimist,1
439,reap,1
440,reward,1
441,extent,1
442,judg,1
443,recoveri,1
444,ye,1
445,frustrat,1
446,deep,1
447,know,1
448,harder,1
449,zoo,1
450,still,1
451,way,2
452,job,1
453,lost,1
454,impact,1
455,bame,1
456,citizen,1
457,briton,1
458,wo,1
459,away,1
460,without,1
461,seriou,1
462,examin,1
463,society.al,1
464,stuff,1
465,need,1
466,address,1
467,regardless,1
468,possibl,1
469,bode,1
470,discours,1
471,suck,1
472,singl,1
473,issu,1
474,nearli,1
475,four,1
476,years.and,1
477,unlik,1
478,event,1
479,forgotten,1
480,decemb,2
481,31,1
482,fix,1
483,current,1
484,headach,1
485,collid,1
486,econom,1
487,no-deal,1
488,forgiven,1
489,wist,1
490,2019,1
491,landslid,1
492,victori,1
493,curs,1
494,differ,1
