,Word,Frequency
0,hà,1
1,nội,1
2,—,2
3,việt,1
4,nam,1
5,chamber,1
6,commerc,1
7,industri,1
8,vcci,2
9,sme,3
10,support,3
11,japan,2
12,organis,1
13,introduc,1
14,j-goodtech,1
15,japanes,5
16,onlin,5
17,busi,13
18,match,4
19,platform,5
20,vietnames,4
21,enterpris,3
22,friday.j-goodtech,1
23,connect,3
24,small-,1
25,medium-s,1
26,partners.th,1
27,current,1
28,"17,000",1
29,member,2
30,"7,000",1
31,asian,1
32,countries.j-goodtech,1
33,oper,1
34,mani,2
35,field,1
36,categori,1
37,electron,1
38,machineri,1
39,metal,1
40,food,1
41,distribut,1
42,logist,1
43,b2b,1
44,services.vietnames,1
45,particip,2
46,share,1
47,inform,3
48,product,2
49,co-oper,3
50,need,2
51,well,1
52,learn,1
53,similar,1
54,members.from,1
55,firm,1
56,associ,1
57,consum,1
58,production.nguyễn,1
59,văn,1
60,hải,1
61,head,1
62,foreign,1
63,affair,1
64,depart,1
65,said,2
66,respons,1
67,covid-19,1
68,pandem,1
69,countri,1
70,appli,1
71,import,1
72,export,1
73,restrict,1
74,polici,1
75,implement,1
76,strict,1
77,medic,1
78,quarantin,1
79,measures.thi,1
80,made,1
81,partner,1
82,custom,1
83,search,1
84,outsid,1
85,market,1
86,tradit,1
87,form,1
88,difficult,1
89,hải.in,1
90,context,1
91,take,1
92,advantag,1
93,digit,1
94,technolog,1
95,via,1
96,trade,1
97,use,2
98,solut,1
99,added.sm,1
100,also,1
101,hold,1
102,free,1
103,event,1
104,juli,1
105,13-17,1
106,microsoft,1
107,teams.vietnames,1
108,regist,1
109,fully-authent,1
110,mobil,1
111,phone,1
112,person,1
113,comput,1
114,laptop,1
115,vn,1
