,Word,Frequency
0,everi,1
1,day,1
2,goe,1
3,tradit,1
4,market,2
5,near,1
6,hous,1
7,ask,1
8,butcher,1
9,fishmong,1
10,put,1
11,pork,1
12,fish,2
13,plastic,36
14,box,2
15,instead,3
16,bag,6
17,``,6
18,'ve,1
19,almost,1
20,year,3
21,see,1
22,peopl,7
23,follow,1
24,want,1
25,contribut,2
26,small,2
27,thing,1
28,environment,3
29,protect,8
30,'',4
31,hiền,1
32,told,2
33,platic,1
34,use,12
35,habit,3
36,gradual,1
37,chang,5
38,hope,2
39,also,6
40,“,1
41,imagin,1
42,much,1
43,wast,16
44,could,1
45,reduc,4
46,made,3
47,simpl,1
48,daili,1
49,”,1
50,launch,3
51,nation,3
52,campaign,2
53,prevent,2
54,act,1
55,environ,8
56,becom,1
57,common,1
58,rais,4
59,awareness.restaur,1
60,fashion,1
61,shop,1
62,agricultur,1
63,store,1
64,across,2
65,countri,2
66,items.th,2
67,number,1
68,'green,1
69,shops',1
70,commit,2
71,say,1
72,increas,1
73,organ,1
74,biodegrad,1
75,reusabl,1
76,products.café,1
77,big,2
78,citi,4
79,includ,1
80,cộng,1
81,book,2
82,luvuvu,1
83,thinker,1
84,dreamer,1
85,trung,1
86,nguyên,1
87,legend,1
88,glass,1
89,cup,2
90,straw,2
91,sugarcan,1
92,grass,1
93,paper,5
94,stainless,1
95,steel,1
96,takeaway.pj,1
97,’,4
98,coffe,2
99,one,1
100,lead,1
101,chain,2
102,consumpt,1
103,busi,1
104,oper,1
105,altern,1
106,product,3
107,passeng,1
108,fruiti,1
109,nutti,1
110,drink,1
111,hcm,1
112,test,1
113,rice,1
114,flour.in,1
115,school,4
116,awar,3
117,student,4
118,improv,1
119,cover,2
120,wrap,2
121,notebook,1
122,compulsory.they,1
123,learn,1
124,harm,1
125,effect,1
126,abolit,1
127,regul,2
128,schoolbook,1
129,realli,1
130,practic,2
131,help,2
132,save,1
133,famili,1
134,expens,1
135,nguyễn,3
136,hải,1
137,yến,1
138,mother,1
139,high,2
140,said.green,1
141,actionshelp,1
142,commun,3
143,feel,1
144,good,3
145,clean,1
146,quick,1
147,easi,1
148,solut,1
149,turn,1
150,someon,1
151,els,1
152,problem,1
153,everyon,1
154,opportun,1
155,might,1
156,help.campaign,1
157,collect,4
158,recycl,3
159,can,1
160,bottl,4
161,return,1
162,tree,3
163,mani,2
164,organisations.th,1
165,project,4
166,'exchang,1
167,exchang,2
168,gift,1
169,young,3
170,đà,2
171,nẵng,2
172,last,1
173,show,1
174,respons,1
175,pollut,1
176,behaviour.memb,1
177,group,1
178,creat,3
179,beauti,1
180,decor,1
181,packag,2
182,plant,1
183,flower,2
184,pot,1
185,paper.from,1
186,idea,1
187,grow,1
188,green,2
189,space,1
190,home,1
191,'s,1
192,member,2
193,wish,1
194,programm,1
195,work,2
196,persist,1
197,tiến,1
198,danh,1
199,onlin,1
200,newspaper.women,1
201,provinc,3
202,taken,1
203,action,2
204,exampl,1
205,women,2
206,bến,1
207,tre,1
208,call,1
209,trader,1
210,local,3
211,eco-friendli,1
212,bags.mani,1
213,quảng,1
214,ninh,1
215,urg,1
216,limit,1
217,single-us,3
218,classifi,1
219,sourc,2
220,reus,1
221,construct,1
222,materi,2
223,chair,1
224,basket,1
225,toys.mani,1
226,supermarket,1
227,coop.mart,1
228,c,1
229,move,2
230,go,1
231,replac,1
232,natur,3
233,banana,1
234,leaves.accord,1
235,ministri,4
236,resourc,2
237,việt,2
238,nam,2
239,discard,1
240,2,1
241,million,1
242,tonn,1
243,year.plast,1
244,item,1
245,gener,1
246,cheap,1
247,conveni,1
248,howev,1
249,critic,1
250,impact,1
251,human,1
252,health,1
253,environment.meanwhil,1
254,still,1
255,sort,1
256,caus,1
257,difficulti,1
258,deal,1
259,waste.in,1
260,june,1
261,2019,2
262,prime,1
263,minist,1
264,xuân,1
265,phúc,1
266,particularli,1
267,emphasis,1
268,need,1
269,take,1
270,measur,1
271,waste.with,1
272,long-term,1
273,plan,4
274,end,2
275,formul,1
276,submit,1
277,pm,1
278,manag,3
279,2030.the,1
280,set,2
281,target,1
282,75,1
283,per,1
284,cent,1
285,sea,2
286,ocean,2
287,2030,1
288,dispos,1
289,gear,1
290,directli,1
291,tourist,2
292,area,3
293,accommod,1
294,servic,2
295,establish,1
296,coastal,2
297,slow,1
298,degrad,1
299,marin,2
300,free,1
301,waste.th,1
302,focus,1
303,complet,1
304,'intern,1
305,centr,1
306,'strengthen,1
307,review,1
308,polici,2
309,treatment,1
310,well,1
311,encourag,1
312,firm,1
313,invest,1
314,technolog,1
315,produc,1
316,compost,1
317,rather,1
318,continu,1
319,agenc,1
320,public,1
321,—,1
322,vn,1
