,Word,Frequency
0,hà,2
1,nội,2
2,–,1
3,sixth,1
4,intern,2
5,day,2
6,yoga,6
7,june,2
8,21,1
9,celebr,2
10,across,1
11,countri,1
12,21-28,1
13,theme,1
14,'yoga,2
15,home'.th,1
16,embassi,5
17,india,1
18,year,1
19,support,1
20,event,4
21,quảng,2
22,ninh,3
23,vĩnh,1
24,phúc,1
25,thuận,1
26,phú,1
27,yên,1
28,thanh,1
29,hóa,1
30,provinces.du,1
31,covid-19,1
32,pandem,1
33,swami,1
34,vivekananda,1
35,cultur,1
36,centr,1
37,promot,1
38,onlin,1
39,webinar,1
40,asana,2
41,best,2
42,daili,1
43,lifestyl,1
44,practices.th,1
45,video,3
46,blog,1
47,contest,2
48,'mi,1
49,life,1
50,also,2
51,launch,1
52,particip,1
53,nationwid,1
54,perform,1
55,upload,1
56,photo,1
57,’,3
58,social,2
59,media,2
60,platform,2
61,three,1
62,entri,1
63,receiv,1
64,prize,1
65,consid,1
66,global,1
67,organis,1
68,indian,1
69,government.th,1
70,main,1
71,take,2
72,place,1
73,near,1
74,hạ,1
75,long,1
76,bay,1
77,collabor,1
78,provinc,1
79,peopl,1
80,committe,1
81,sunday,1
82,live-stream,1
83,thousand,1
84,enthusiast,1
85,encourag,1
86,join,1
87,remot,1
88,vn,1
