,Word,Frequency
0,hà,1
1,nội,1
2,—,2
3,việt,5
4,nam,5
5,ask,4
6,china,2
7,investig,3
8,incid,2
9,chines,7
10,vessel,3
11,serious,1
12,disrupt,1
13,vietnames,11
14,fish,4
15,boat,4
16,hoàng,2
17,sa,3
18,paracel,1
19,archipelago,2
20,’,7
21,water,3
22,june,3
23,10.relev,1
24,agenc,4
25,said,1
26,qng,1
27,96416,1
28,ts,1
29,move,1
30,seven,1
31,nautic,1
32,mile,1
33,south,1
34,lincoln,1
35,island,1
36,steel,1
37,plate,1
38,4006,1
39,allegedli,1
40,oper,1
41,coast,1
42,guard,1
43,motorboat,1
44,approach,1
45,caus,2
46,big,1
47,wave,1
48,caused16,1
49,fishermen,9
50,mani,1
51,object,1
52,fall,1
53,sea,1
54,enter,1
55,boat.it,1
56,report,1
57,peopl,1
58,got,1
59,pump,1
60,brought,1
61,back,1
62,boat.befor,1
63,depart,2
64,forc,1
65,captain,1
66,fingerprint,1
67,sign,1
68,document,1
69,foreign,2
70,languag,1
71,took,1
72,away,1
73,larg,1
74,volum,1
75,seafood,1
76,tool,1
77,equipment.immedi,1
78,10,1
79,consular,1
80,ministri,1
81,affair,1
82,vietnam,1
83,embassi,1
84,beij,1
85,contact,2
86,author,2
87,affirm,1
88,sovereignti,2
89,also,2
90,request,1
91,side,2
92,inform,2
93,result,1
94,authoris,1
95,coordin,1
96,address,1
97,incident.on,1
98,12,1
99,board,1
100,safe,1
101,land,1
102,kỳ,1
103,central,1
104,provinc,2
105,quảng,1
106,ngãi,1
107,quarantin,1
108,bình,1
109,sơn,1
110,medic,1
111,centr,1
112,accord,1
113,covid-19,1
114,prevent,1
115,regul,1
116,work,1
117,collect,1
118,verifi,1
119,continu,1
120,protect,2
121,nation,1
122,legitim,1
123,right,2
124,interests.in,1
125,protest,2
126,letter,1
127,issu,1
128,saturday,1
129,fisheri,2
130,societi,2
131,damag,1
132,estim,1
133,vnđ500,1
134,million,1
135,approx,1
136,us,1
137,"21,500",1
138,.the,1
139,condemn,1
140,“,1
141,inhuman,1
142,act,1
143,”,1
144,threaten,1
145,live,1
146,livelihood,1
147,waters.th,1
148,organis,1
149,voic,1
150,stop,1
151,attack,1
152,demand,1
153,compensation.they,1
154,increas,1
155,patrol,1
156,provid,1
157,support,1
158,vn,1
