,Word,Frequency
0,footballmilan,1
1,—,2
2,italian,1
3,govern,1
4,thursday,1
5,agre,1
6,eas,1
7,quarantin,3
8,restrict,1
9,footbal,3
10,team,3
11,case,3
12,posit,3
13,coronaviru,2
14,test,3
15,seri,2
16,prepar,1
17,return,2
18,action,2
19,weekend.italian,1
20,feder,1
21,presid,1
22,gabriel,1
23,gravina,1
24,hail,1
25,decis,1
26,``,4
27,anoth,1
28,step,1
29,forward,1
30,complet,1
31,sport,1
32,season,1
33,'',2
34,.the,1
35,requir,1
36,two-week,1
37,period,1
38,entir,1
39,staff,2
40,covid-19,1
41,would,1
42,made,2
43,difficult,1
44,championship,1
45,conclude.health,1
46,minist,1
47,roberto,1
48,speranza,1
49,gave,1
50,green,1
51,light,1
52,soft,1
53,mean,1
54,discov,1
55,infect,1
56,person,1
57,isolated.th,1
58,squad,1
59,close,1
60,monitor,1
61,quick,1
62,perform,1
63,whole,1
64,day,2
65,match.gravina,1
66,ad,1
67,hope,1
68,great,1
69,sens,1
70,respons,1
71,start,1
72,fan,1
73,fuel,1
74,passion,1
75,everi,1
76,adopt,1
77,behaviour,1
78,nullifi,1
79,effort,1
80,saturday,1
81,three-month,1
82,shutdown,1
83,four,1
84,postpon,1
85,games.torino,1
86,host,2
87,parma,1
88,cagliari,1
89,travel,1
90,hella,1
91,verona,1
92,sunday,1
93,atalanta,1
94,sassuolo,1
95,bergamo,1
96,inter,1
97,milan,1
98,home,1
99,sampdoria.leagu,1
100,leader,1
101,juventu,1
102,one-point,1
103,lead,1
104,lazio,1
105,play,1
106,bologna,1
107,monday,1
108,target,1
109,ninth,1
110,consecut,1
111,titl,1
112,afp,1
