,Word,Frequency
0,chacha,2
1,quỳ,1
2,gối,1
3,sàn,1
4,gỗ,1
5,ngón,1
6,nhẹ_nhàng,2
7,cử_chỉ,1
8,duyên_dáng,2
9,cúi,1
10,chào,1
11,khán_giả,2
12,qua chương,1
13,trình,1
14,trực,1
15,tuyến.thông,1
16,ánh,1
17,đèn,1
18,sân_khấu,1
19,geisha,1
20,32,1
21,điệu,1
22,nhảy,1
23,truyền_thống,2
24,di_chuyển,1
25,cánh,1
26,bướm,1
27,nở,1
28,xoè,1
29,nghệ_thuật,1
30,hớp_hồn,1
31,hâm,1
32,mộ.khán,1
33,giả,1
34,đàn_ông,1
35,lớn_tuổi,1
36,giàu_có,1
37,dõi,1
38,diễn,1
39,trân_trọng,1
40,phòng,1
41,trải,1
42,chiếu,1
43,tatami.chacha,1
44,biểu_diễn,1
45,ứng_dụng,1
46,trực_tuyến,1
