,Word,Frequency
0,vov.vn,1
1,deputi,2
2,prime,1
3,minist,1
4,trinh,1
5,dinh,1
6,dung,3
7,gave,1
8,recept,1
9,vice,1
10,presid,1
11,japanes,3
12,intern,1
13,friendship,2
14,exchang,2
15,council,2
16,fec,2
17,onoi,2
18,yoshiki,2
19,hanoi,1
20,decemb,1
21,3.the,1
22,pm,1
23,highlight,1
24,thrive,1
25,vietnam-japan,1
26,extens,1
27,strateg,1
28,partnership,1
29,basi,1
30,consolid,1
31,polit,1
32,trust,1
33,say,1
34,two,1
35,countri,3
36,becom,1
37,lead,1
38,partner,2
39,econom,2
40,trade,3
41,investment.japan,1
42,vietnam,7
43,’,4
44,largest,1
45,offici,1
46,develop,4
47,assist,1
48,oda,1
49,provid,1
50,total,1
51,capit,1
52,amount,1
53,roughli,1
54,us,3
55,27,1
56,billion,2
57,east,1
58,asian,2
59,nation,2
60,also,1
61,fourth,1
62,biggest,1
63,two-way,1
64,reach,1
65,around,1
66,38,1
67,last,1
68,year,2
69,japan,4
70,invest,4
71,project,2
72,made,1
73,consider,1
74,contribut,3
75,socio-econom,1
76,job,1
77,gener,1
78,said,2
79,ad,2
80,rank,1
81,second,1
82,among,1
83,territori,1
84,southeast,1
85,"4,300",1
86,worth,1
87,nearli,1
88,60,1
89,billion.vietnam,1
90,hope,1
91,investor,2
92,expand,1
93,cooper,2
94,local,1
95,enterpris,1
96,sector,1
97,farm,1
98,machineri,1
99,agro-fisheri,1
100,process,1
101,electron,1
102,shipbuild,1
103,auto,1
104,spare,1
105,part,2
106,environment,1
107,industri,2
108,energi,2
109,save,1
110,infrastructur,1
111,support,2
112,high-tech,1
113,told,1
114,guest,1
115,hail,1
116,member,1
117,advanc,1
118,past,2
119,includ,1
120,organis,1
121,host,1
122,busi,2
123,deleg,1
124,sinc,1
125,2011,1
126,greatli,1
127,impress,1
128,time,1
129,pledg,1
130,best,1
131,effort,1
132,people-to-peopl,2
133,diplomaci,1
134,arrang,1
135,trip,1
136,seek,1
137,opportun,1
138,vietnames,1
139,hold,1
140,power,1
141,epi,1
142,technolog,1
